Nome: BELEM;;;;;;;;;
Codigo Estacao: 82191;;;;;;;;;
Latitude: -1.43583333;;;;;;;;;
Longitude: -48.43722221;;;;;;;;;
Altitude: 7.13;;;;;;;;;
Situacao: Operante;;;;;;;;;
Data Inicial: 1990-01-01;;;;;;;;;
Data Final: 2023-10-01;;;;;;;;;
Periodicidade da Medicao: Diaria;;;;;;;;;
;;;;;;;;;
Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(ï¿½ï;TEMPERATURA MEDIA COMPENSADA, DIARIA(ï¿½ï;TEMPERATURA MINIMA, DIARIA(ï¿½ï;UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s)
11/03/1990;1,3;3,6;3;31,6;25,28;23;93;86;0,6
12/03/1990;1,5;7,4;8,8;32,8;26,44;22,6;88;67;1,366667
13/03/1990;1,6;7;9,1;31,8;26,44;23;90,75;82;1,366667
14/03/1990;1,6;7,5;4,2;32,6;27,14;23,7;89,5;84;1,866667
15/03/1990;1,5;3,3;13,3;31,8;26,76;23,8;91,75;88;1,666667
16/03/1990;1,1;3,2;3,5;32,2;26,32;23;93;86;0,433333
17/03/1990;1,1;5,8;26,9;32,4;26,14;22,4;86,5;64;1,433333
18/03/1990;1,9;6,2;0,4;32,5;25,94;22,6;86,5;75;1,966667
19/03/1990;1,2;4,9;7,4;30,5;25,82;22,2;89,25;77;1,033333
20/03/1990;1,4;6,1;7,2;33,2;26,56;23,2;86,25;85;2,433333
21/03/1990;1,4;1,6;20,6;31,6;26,16;23;95,25;87;0
22/03/1990;1;1,7;3,3;30;25,24;23,2;91,75;74;1,633333
23/03/1990;0,9;4,1;16,9;31,4;26,32;23;88,75;73;0
24/03/1990;1,8;5,7;0;32,3;26,82;23,2;91,5;82;1,966667
25/03/1990;0,5;0;36,8;26,6;24,28;23,2;94,25;87;0
26/03/1990;0,7;2,3;19,3;29,2;25,12;22,6;90,25;82;0,433333
27/03/1990;0,8;3,7;26,2;32,2;26,12;23;86,75;74;0
28/03/1990;2;5,9;0,8;31,6;26,24;22,2;92;90;0,7
29/03/1990;1,7;0,2;6,3;29,2;25,84;23,6;90,25;80;0
30/03/1990;0,9;0,2;2,4;29,2;25,2;23;87;69;0,833333
31/03/1990;1,4;4,6;0;30,6;25,96;23;86,25;76;1,3
01/04/1990;1,5;9,3;11;32,8;26,38;22,5;85;61;1,1
02/04/1990;2,2;6,8;1,2;32;26,96;23,4;86,75;76;1,333333
03/04/1990;1,5;3,3;4,2;31;26,96;23,4;92,25;83;1,2
04/04/1990;0,8;2,2;9,4;31;26,04;23,6;null;89;0,8
05/04/1990;0,7;6,9;6;32,6;26,16;23;87,5;64;0,666667
06/04/1990;1,8;5,3;0;31,6;26,68;23,2;90,5;86;0,933333
07/04/1990;1,4;4,2;2,2;32,4;27,04;23,6;90,75;78;1,633333
08/04/1990;1,1;4,7;32,6;31,3;26,82;23,8;86;76;0,266667
09/04/1990;1,5;6,8;3,5;32,2;27,08;23,2;81,25;58;0,433333
10/04/1990;2,4;8;0;33,8;27,56;23,2;87,5;76;1,2
11/04/1990;1,9;9,7;13,1;33,4;27,12;23,2;83;59;0,433333
12/04/1990;2,3;9,2;0,2;33,4;26,98;22,8;86,25;69;1,6
13/04/1990;1,7;7,1;24,8;33;27,04;23,2;85,5;63;1,266667
14/04/1990;1,6;6,9;10;32,8;26,96;23,8;85;65;1,6
15/04/1990;2;7;0,1;33,4;26,98;23,6;83,75;60;1,2
16/04/1990;1,9;2,7;4,8;31,8;26,34;23,5;93,75;89;1,033333
17/04/1990;0,8;5,2;34;31,2;25,88;23,8;90,5;75;0,833333
18/04/1990;1,2;6,2;3,2;32,6;26,28;22,6;88,25;67;0,666667
19/04/1990;1,4;6,7;1,4;32,4;26,88;23,4;91,5;85;1,1
20/04/1990;1,6;9,1;1,6;32,8;26,36;23,4;85,75;64;1,1
21/04/1990;2;6;17,2;32,8;26,36;23,2;87,5;77;0,6
22/04/1990;1,4;8,1;40,6;32,8;null;23,2;null;66;1,8
23/04/1990;2,1;5,7;0,2;32,7;27,18;24;91,5;80;1,366667
24/04/1990;1,4;3,3;3,3;31,6;26,52;23,6;87,75;80;2,166667
25/04/1990;1,4;3;1,3;31,4;25,88;23,2;92;80;1,533333
26/04/1990;1;5,4;18,4;32,4;26,6;23,4;89;81;0,833333
27/04/1990;1,5;6,7;5,9;33,2;26,72;23,4;88,75;80;0,6
28/04/1990;1,6;1,8;9,8;30,6;25,68;23,2;89;71;1,633333
29/04/1990;1,7;8,6;76,8;32,5;16,4;23,4;null;63;2,05
